一一	fhfh
下边	fdal
下达	fdxl
下过	fdll
下述	fdao
下逐客令	fket
下部	fdyi
下酒	fdht
下里巴人	fdes
下野	fddm
下铺	fdcg
下锅	fdci
下降	fdtj
下限	fdtt
下院	fdte
下陷	fdtr
下集	fdva
下雨	fdtf
下雪	fdts
下面	fdhf
下页	fdkw
下颌	fdti
下颚	fdrr
下风	fdpo
下饭	fdfo
下马	fdxh
下马威	fxuf
下马看花	fxpw
不一	cifh
不一会儿	cfsa
不一定	cfek
不一定会	cfes
不一定要	cfeq
不一样	cfai
不一样的	cfad
不一致	cfcr
不三不四	cqcy
不上不下	cdcf
不下	cifd
不下于	cffg
不与	cifp
不中	ciik
不丹	cizu
不为人知	cose
不为所动	cofp
不为瓦全	cofs
不久	ciro
不久前	crvm
不义	cioo
不义之财	codd
不乏	cicd
不乏其人	ccms
不乏其例	ccmk
不习惯	cfns
不买	cipl
不乱	civp
不了了之	cffd
不了解	cfrq
不予	cima
不予考虑	cmrq
不争	ciru
不亢不卑	cucd
不亦乐乎	cunc
不仁不义	ckco
不仅	cikw
不仅仅	ckkw
不仅仅是	ckkj
不仅如此	cksl
不仅是	ckjk
不介意	csan
不从	ciss
不以为意	choa
不以为然	chom
不以为耻	choq
不以己悲	chjd
不休	cika
不会	cisp
不伦不类	ckcm
不似	cikh
不但	cikj
不住	ciko
不作	cike
不佳	cikb
不依不饶	ckcf
不便	cikt
不俗	cikp
不信	cikm
不修边幅	ckau
不倒翁	ckvn
不值	cikg
不值一提	ckfp
不值一文	ckfw
不值得	ckjj
不假	cikm
不假思索	cksg
不偏不倚	ckck
不做	cikq
不停	cikw
不像	cikw
不像话	ckvv
不允许	cnvl
不光	cisj
不免	ciza
不入虎穴	cxqz
不全	cisg
不公	civn
不公平	cvlv
不共戴天	cxgf
不关痛痒	cvxx
不再	cigz
不写	cief
不冷不热	clcp
不准	cilv
不减	cilu
不减当年	clol
不凡	cipo
不出	ciiz
不出所料	cifm
不分	civk
不分伯仲	cvkk
不分彼此	cvjl
不分昼夜	cvmu
不分皂白	cvdd
不分胜负	cvmr
不分青红皂白	cvzd
不分高下	cvwf
不切实际	clet
不利	cizk
不利于	czfg
不利因素	czuz
不到	cick
不到黄河心不死	ccbq
不力	ciau
不加	ciai
不务正业	cjfo
不动	cipa
不动产	cpyo
不动声色	cpmr
不劳而获	cwuw
不包括	cspv
不卑不亢	cdcu
不单	civs
不即不离	ctcu
不厌	ciol
不厌其烦	comy
不厌其详	comv
不去	cibn
不及	cikd
不及格	ckaq
不发	ciiw
不发达国家	cixe
不受	cite
不变	ciuy
不只	ciiv
不只是	cijk
不可	cizj
不可一世	czfx
不可以	czhs
不可企及	czsk
不可估量	czkj
不可偏废	czkg
不可分割	czve
不可分离	czvu
不可动摇	czpp
不可同日而语	czzv
不可名状	czxn
不可否认	czcv
不可告人	czls
不可多得	czxj
不可小觑	czoq
不可开交	czfc
不可忽视	czsd
不可思议	czsv
不可或缺	cziu
不可抗力	czpa
不可抗拒	czpp
不可推卸	czpu
不可收拾	czhp
不可救药	czfw
不可替代	czsk
不可理喻	czgi
不可知论	czev
不可磨灭	czof
不可终日	czrj
不可缺少	czuo
不可胜数	czmm
不可能	cznm
不可能的	cznd
不可自拔	czcp
不可言传	czmk
不可言喻	czmi
不可言状	czmn
不可逆转	czvy
不可逾越	cztq
不可避免	czrz
不可限量	cztj
不吃	ciil
不吃不喝	cici
不合	citi
不合时宜	ctje
不合格	ctaq
不合适	ctvl
不同	cizf
不同一般	czfl
不同于	czfg
不同凡响	czpi
不同寻常	czsx
不同意	czan
不同的	czds
不名一文	cxfw
不吐不快	cicn
不吝	ciwi
不含	citp
不听	ciio
不吭	ciiu
不周	cizb
不和	cizi
不哭	cirl
不啻	ciye
不善	ciiv
不善言谈	cimv
不喜欢	chwf
不喝	ciij
不回	ciui
不因	ciux
不图	ciuj
不在乎	cgcv
不在于	cgfg
不在其位	cgmk
不在少数	cgom
不在意	cgan
不在此列	cglq
不在话下	cgvf
不均	cibs
不坏	cibc
不堪	cibm
不堪一击	cbfp
不堪入目	cbxg
不堪入耳	cbxq
不堪其扰	cbmp
不堪回首	cbuv
不堪设想	cbva
不堪造就	cblw
不堪重负	cbhr
不声不响	cmci
不复	cilj
不复存在	clgg
不外	cixd
不外乎	cxcv
不多	cixx
不多不少	cxco
不多见	cxuw
不够	citx
不大不小	cxco
不大可能	cxzn
不失	cics
不失时机	ccja
不好	cisy
不好意思	csas
不如	cisi
不如人意	cssa
不如说是	csvj
不妙	ciso
不妥	cits
不妨	cism
不妨一试	csfv
不嫌	cisv
不孕	civy
不存在	cggk
不孝	ciry
不孝有三	crgq
不学无术	chua
不安	cies
不完全	cesg
不定期	cemv
不宜	cier
不客气	cefq
不宣而战	ceud
不容	ciep
不容乐观	cenw
不容分说	cevv
不容小觑	ceoq
不容忽视	cesd
不容易	cejs
不容置疑	ceyh
不容许	cevl
不寒而栗	ceuq
不对	ciwl
不对劲	cwwn
不寻常	csxu
不小心	cong
不少	cioc
不少人	cosi
不尽	cimo
不尽人意	cmsa
不尽相同	cmaz
不屈	cimi
不屈不挠	cmcp
不屑	cimo
不屑一顾	cmfo
不属于	cmfg
不巧	cinf
不差	ciin
不已	cint
不带	cife
不常	cixu
不干	cilr
不干不净	clcl
不平	cilv
不平则鸣	cldi
不平等	clzb
不平等条约	clzr
不幸	cibi
不应	cigh
不应该	cgvy
不开心	cfng
不强	cioi
不归	ciks
不归之路	ckdu
不当	cios
不当之处	codj
不影响	cjic
不待	cijb
不徇私情	cjzn
不徐不疾	cjcx
不得	cijj
不得不	cjci
不得不发	cjci
不得了	cjfu
不得人心	cjsn
不得劲	cjwn
不得善终	cjir
不得已	cjnt
不得已而为之	cjnd
不得而知	cjue
不得要领	cjqt
不必	cinc
不必要	cnqs
不忍	ciko
不忍卒读	ckuv
不忍心	ckng
不忘	cixn
不忘初心	cxon
不忙	cinx
不快	cine
不忿	civk
不怀好意	cnsa
不怎么样	ceca
不怕	cind
不思进取	csbq
不急	cirs
不怪	cinw
不息	cicn
不悔	cinl
不悦	cinv
不情之请	cndv
不惑	ciii
不惑之年	cidl
不惜	cinx
不惜一切	cnfl
不惜代价	cnkk
不惜工本	cnna
不惜血本	cnca
不惧	cing
不想	ciag
不愈	citm
不意	cian
不愠不火	cncy
不愧	cinb
不愧是	cnjk
不愿	ciod
不愿意	coan
不慌不忙	cncn
不慎	cing
不慢	cinj
不懂	cinw
不懂装懂	cnnn
不懈	cinr
不懈奋斗	cnxp
不成	ciup
不成敬意	cuwa
不成文法	cuwh
不成方圆	cumu
不成样子	cuay
不成气候	cufk
不战而胜	cdum
不才	cigc
不打	cipu
不打不相识	cpcv
不打自招	cpcp
不扬	cipp
不承认	cpvs
不折不扣	cpcp
不拒	cipe
不拘	cipt
不拘一格	cpfa
不拘小节	cpow
不择手段	cppp
不振	cipq
不掉	cipd
不接	cipy
不提	cipj
不支	cibh
不收	cihr
不改	cijr
不攻自破	cncq
不放	cimr
不敌	civr
不敏	cilq
不敢	cipq
不敢当	cpos
不敢苟同	cpwz
不敢越雷池一步	cpql
不散	cixm
不敬	ciwt
不料	cimp
不断	cimp
不断发展	cmim
不断扩大	cmpx
不方便	cmkt
不无	ciue
不无道理	cuvg
不日	cije
不早不晚	cjcj
不时	cijl
不时之需	cjdt
不明	cijm
不明不白	cjcd
不明事理	cjfg
不明就里	cjwd
不明所以	cjfh
不明白	cjdy
不明真相	cjga
不明觉厉	cjho
不明飞行物	cjil
不易	cijs
不是	cijk
不是不报	cjcp
不是为了	cjof
不是因为	cjuo
不是没有	cjhg
不晓得	cjjj
不暇	cijm
不曾	civu
不服	cimw
不服水土	cmhb
不期然而然	cmmm
不期而遇	cmus
不朽	ciaf
不杀	cioa
不杀之恩	codu
不来	cijv
不欢而散	cwux
不欺暗室	cmje
不止	cild
不止一次	clfl
不正	cifl
不正之风	cfdp
不正常	cfxu
不正当	cfos
不正当竞争	cfor
不正确	cfqr
不死	ciqh
不死不活	cqch
不比	cihh
不毛之地	codb
不求	cifh
不求上进	cfdb
不求有功	cfgn
不求甚解	cfmr
不治	cihn
不治之症	chdx
不法	cihb
不法分子	chvy
不测	cihd
不济	ciha
不消	ciho
不清不楚	chca
不清楚	chaa
不温不火	chcy
不满	cihw
不满意	chan
不灭	cify
不灵	cisy
不然	ciml
不然的话	cmdv
不熟	ciwy
不爱	cite
不爽	cixo
不独	cilj
不理不睬	cgcg
不理解	cgrq
不甘	cimz
不甘寂寞	cmee
不甘心	cmng
不甘示弱	cmdo
不甘落后	cmwo
不甚	cimv
不甚了了	cmff
不用	ciql
不由	ciis
不由分说	civv
不由得	cijj
不由自主	cico
不畅	cijk
不畏	cisf
不畏强暴	csoj
不畏艰险	cswt
不留	cifs
不留余地	cfsb
不留痕迹	cfxu
